distrito,cargo,agrupacion_politica,lista,votos
Catamarca,Parlamentario mercosur dn,MOVIMIENTO AL SOCIALISMO,A-IZQUIERDA ANTICAPITALISTA,572
Catamarca,Parlamentario mercosur dn,MOVIMIENTO LIBRES DEL SUR,A-AZUL Y ROJO,1154
Catamarca,Parlamentario mercosur dn,MOVIMIENTO DE ACCION VECINAL,A-COMPROMISO VECINAL,390
Catamarca,Parlamentario mercosur dn,MOVIMIENTO IZQ. JUVENTUD Y DIGNIDAD,A-DIGNIDAD,271
Catamarca,Parlamentario mercosur dn,MOVIMIENTO IZQ. JUVENTUD Y DIGNIDAD,B-CONFEDERAL,320
Catamarca,Parlamentario mercosur dn,POLITICA OBRERA,A-UNIDAD OBRERA,795
Catamarca,Parlamentario mercosur dn,PROYECTO JOVEN,A-COALICION PAZ DEMOCRACIA SOBERANA,11
Catamarca,Parlamentario mercosur dn,PROYECTO JOVEN,C-TODEX,3
Catamarca,Parlamentario mercosur dn,PROYECTO JOVEN,D-NUEVA DEMOCRACIA,2
Catamarca,Parlamentario mercosur dn,FRENTE PATRIOTA FEDERAL,A-PRIMERO LA PATRIA,409
Catamarca,Parlamentario mercosur dn,FRENTE LIBER.AR,A-DEMOS,0
Catamarca,Parlamentario mercosur dn,FRENTE LIBER.AR,C-ANTICORRUPCION,5
Catamarca,Parlamentario mercosur dn,JUNTOS POR EL CAMBIO,A -EL CAMBIO DE NUESTRAS VIDAS | H,20072
Catamarca,Parlamentario mercosur dn,JUNTOS POR EL CAMBIO,B-LA FUERZA DEL CAMBIO | GANA CATAMARCA A,25384
Catamarca,Parlamentario mercosur dn,HACEMOS POR NUESTRO PAIS,A-HACEMOS | NVO ESPACIO DE OPINION,2103
Catamarca,Parlamentario mercosur dn,UNION POR LA PATRIA,A-CELESTE Y BLANCA,94188
Catamarca,Parlamentario mercosur dn,LA LIBERTAD AVANZA,A-LIB POR SIEMPRE | UNION EN DESA Y LIBERTAD,32735
Catamarca,Parlamentario mercosur dn,FTE DE IZQ. Y DE TRABAJADORES-UNIDAD,A-UNIR Y FORTALEZA LA IZQUIERDA,1202
Catamarca,Parlamentario mercosur dn,FTE DE IZQ. Y DE TRABAJADORES-UNIDAD,B-UNIDAD DE LUCHADORES Y LA IZQ. | 1A,1545
Catamarca,Parlamentario mercosur dn,PRINCIPIOS Y VALORES,"1A-TIERRA, TECHO Y TRABAJO",58
Catamarca,Parlamentario mercosur dn,PRINCIPIOS Y VALORES,2B-TRANSFORMAR,22
Catamarca,Parlamentario mercosur dn,VOTOS NULOS,VOTOS NULOS,1392
Catamarca,Parlamentario mercosur dn,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Catamarca,Parlamentario mercosur dn,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Catamarca,Parlamentario mercosur dn,VOTOS BLANCO,VOTOS EN BLANCO,64129
Catamarca,Parlamentario mercosur dn,VOTOS TOTALES,VOTOS TOTALES,246762
