distrito,cargo,agrupacion_politica,lista,votos
Rio negro,Parlamentario del mercosur dn,MOVIMIENTO AL SOCIALISMO - MAS,MOVIMIENTO AL SOCIALISMO - MAS - A - IZQUIERDA ANTICAPITALISTA,3044
Rio negro,Parlamentario del mercosur dn,PARTIDO MOVIMIENTO LIBRES DEL SUR,PARTIDO MOVIMIENTO LIBRES DEL SUR - A - AZUL Y ROJO,4793
Rio negro,Parlamentario del mercosur dn,MOVIMIENTO DE ACCION VECINAL,MOVIMIENTO DE ACCION VECINAL - A - COMPROMISO VECINAL,1825
Rio negro,Parlamentario del mercosur dn,MOVIIENTO IZQUIERDA JUVENTUD DIGNIDAD,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD - A - DIGNIDAD,172
Rio negro,Parlamentario del mercosur dn,MOVIIENTO IZQUIERDA JUVENTUD DIGNIDAD,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD - B - CONFEDERAL,982
Rio negro,Parlamentario del mercosur dn,POLITICA OBRERA,POLITICA OBRERA - A - UNIDAD OBRERA,2418
Rio negro,Parlamentario del mercosur dn,PARTIDO PROYECTO JOVEN,PARTIDO PROYECTO JOVEN - A - COALICION PAZ DEMOCRACIA SOBERANIA,32
Rio negro,Parlamentario del mercosur dn,PARTIDO PROYECTO JOVEN,PARTIDO PROYECTO JOVEN - C - TODEX,9
Rio negro,Parlamentario del mercosur dn,PARTIDO PROYECTO JOVEN,PARTIDO PROYECTO JOVEN - D - NUEVA DEMOCRACIA,5
Rio negro,Parlamentario del mercosur dn,FRENTE PATRIOTA FEDERAL,FRENTE PATRIOTA FEDERAL - A - PRIMERO LA PATRIA,17
Rio negro,Parlamentario del mercosur dn,FRENTE LIBER.AR,FRENTE LIBER.AR - A - DEMOS,16
Rio negro,Parlamentario del mercosur dn,FRENTE LIBER.AR,FRENTE LIBER.AR - C - ANTICORRUPCION,7
Rio negro,Parlamentario del mercosur dn,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO - A Y C - EL CAMBIO DE NUESTRAS VIDAS,28963
Rio negro,Parlamentario del mercosur dn,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO - B - LA FUERZA DEL CAMBIO,51006
Rio negro,Parlamentario del mercosur dn,HACEMOS POR NUESTRO PAIS,HACEMOS POR NUESTRO PAIS - A - HACEMOS,7510
Rio negro,Parlamentario del mercosur dn,UNION POR LA PATRIA,UNION POR LA PATRIA - A - CELESTE Y BLANCA,95369
Rio negro,Parlamentario del mercosur dn,LA LIBERTAD AVANZA - PARTIDO FE ,"LA LIBERTAD AVANZA - PARTIDO FE - A ""LIBERTAD POR SIEMPRE"" -  A ""CON FE""",140096
Rio negro,Parlamentario del mercosur dn,FRENTE DE IZQUIERDA Y TRABAJADORES - UNIDAD,FRENTE DE IZQUIERDA Y TRABAJADORES - UNIDAD - A - UNIR Y FORTALECER LA IZQUIERDA,9603
Rio negro,Parlamentario del mercosur dn,FRENTE DE IZQUIERDA Y TRABAJADORES - UNIDAD,FRENTE DE IZQUIERDA Y TRABAJADORES - UNIDAD - B - UNIDAD DE LUCHADORES Y LA IZQUIERDA,3953
Rio negro,Parlamentario del mercosur dn,PRINCIPIOS Y VALORES,PRINCIPIOS Y VALORES - 1A - TIERRA TECHO Y TRABAJO,3221
Rio negro,Parlamentario del mercosur dn,PRINCIPIOS Y VALORES,PRINCIPIOS Y VALORES - 2B - TRANSFORMAR,0
Rio negro,Parlamentario del mercosur dn,VOTOS NULOS,VOTOS NULOS,9596
Rio negro,Parlamentario del mercosur dn,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Rio negro,Parlamentario del mercosur dn,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Rio negro,Parlamentario del mercosur dn,VOTOS BLANCO,VOTOS EN BLANCO,56272
Rio negro,Parlamentario del mercosur dn,VOTOS TOTALES,VOTOS TOTALES,418909
