distrito,cargo,agrupacion_politica,lista,votos
Formosa,Parlamentario mercosur dr,MOVIMIENTO LIBRES DEL SUR,A - AZUL Y ROJO,1794
Formosa,Parlamentario mercosur dr,UNION POR LA PATRIA,"A - LISTA 2 CELESTE, BLANCA Y AZUL",144845
Formosa,Parlamentario mercosur dr,JUNTOS POR EL CAMBIO,A - #PODES CONFIAR ESTAMOS CON VOS,23414
Formosa,Parlamentario mercosur dr,JUNTOS POR EL CAMBIO,B - LA FUERZA DEL CAMBIO,42963
Formosa,Parlamentario mercosur dr,LA LIBERTAD AVANZA,A - LA LIBERTAD AVANZA,75569
Formosa,Parlamentario mercosur dr,VOTOS NULOS,VOTOS NULOS,2079
Formosa,Parlamentario mercosur dr,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Formosa,Parlamentario mercosur dr,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Formosa,Parlamentario mercosur dr,VOTOS BLANCO,VOTOS EN BLANCO,35916
Formosa,Parlamentario mercosur dr,VOTOS TOTALES,VOTOS TOTALES,326580
