distrito,cargo,agrupacion_politica,lista,votos
San juan,Presidente y vice,MOVIMIENTO AL SOCIALISMO,IZQUIERDA  ANTICAPITALISTA - MANUELA CASTAÑEIRA,1146
San juan,Presidente y vice,UNION DEL CENTRO DEMOCRATICO,APERTURA LIBERAL ARGENTINA - ANDRÉS PASSAMONTI,9
San juan,Presidente y vice,MOVIMIENTOS LIBRES DEL SUR,AZUL Y ROJO - JESUS ESCOBAR,2861
San juan,Presidente y vice,MOVIMIENTO DE ACCION  VECINAL,COMPROMISO VECINAL - RAUL ALBARRACIN,974
San juan,Presidente y vice,MOVIMIENTO DE IZQUIERDA JUVENTUD Y DIGNIDAD,MOVIMIENTO DE IZQUIERDA JUVENTUD Y DIGNIDAD - LISTA A DIGNIDAD- RAUL CASTELLS,1040
San juan,Presidente y vice,MOVIMIENTO DE IZQUIERDA JUVENTUD Y DIGNIDAD,MOVIMIENTO DE IZQUIERDA JUVENTUD Y DIGNIDAD - LISTA B CONFEDERAL  - SANTIAGO CUNEO,1453
San juan,Presidente y vice,POLITICA OBRERA,UNIDAD OBRERA - MARCELO RAMAL,1292
San juan,Presidente y vice,PROYECTO JOVEN,LISTA A COALICION PAZ DEMOCRAIA SOBERANIA MEMPO GIARDINELLI,6
San juan,Presidente y vice,PROYECTO JOVEN,LISTA B  PATRIA  UNIDA - MARTIN AYERBE,2
San juan,Presidente y vice,PROYECTO JOVEN,LISTA C TODEX - REINA IBAÑEZ,2
San juan,Presidente y vice,FRENTE PATRIOTA FEDERAL ,FRENTE PATRIOTA FEDERAL - PRIMERO LA PATRIA - CESAR BIONDINI,1214
San juan,Presidente y vice,FRENTE LIBER.AR,FRENTE LIBER.AR - LISTA A DEMOS  - NAZARENO ETCHEPARE,8
San juan,Presidente y vice,FRENTE LIBER.AR,FRENTE LIBER.AR - LISTA B RECONQUISTA RAMIRO VASENA,3
San juan,Presidente y vice,FRENTE LIBER.AR,FRENTE LIBER.AR - LISTA C ANTICORRUPCION - JULIO BARBARO,1
San juan,Presidente y vice,JUNTOS POR EL CAMBIO ,LISTA A EL CAMBIO DE NUESTRAS VIDAS - HORACIO RODIRIGUEZ,64805
San juan,Presidente y vice,JUNTOS POR EL CAMBIO ,LISTA B LA FUERZA DEL CAMBIO - PATRICIA BULLRICH,55049
San juan,Presidente y vice,HACEMOS POR NUESTRO PAIS,HACEMOS POR NUESTRO PAIS HACEMOS JUAN SCHIARETTI,7014
San juan,Presidente y vice,UNION POR LA PATRIA  ,UNION POR LA PATRIA  - LISTA A CELESTE Y BLANCA - SERGIO MASSA,97095
San juan,Presidente y vice,UNION POR LA PATRIA  ,UNION POR LA PATRIA  - LISTA B JUSTA Y SOBERANA - JUAN GRABOIS,27318
San juan,Presidente y vice,LA LIBERTAD AVANZA ,LA LIBERTAD AVANZA - LIBERTAD POR SIEMPRE - JAVIER MILEI,147168
San juan,Presidente y vice,FRENTE DE IZQUIRDA  Y DE LOS TRABJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES - LISTA A UNIR Y FORTALECER LA IZQUIERDA  - MYRIAM BREGMAN,2967
San juan,Presidente y vice,FRENTE DE IZQUIRDA  Y DE LOS TRABJADORES,FRENTE DE IZQ.  Y DE LOS TRABJADORES - LISTA B UNIDAD DE LUCHADORES Y LA IZQUIERDA - GABRIEL SOLANO,2306
San juan,Presidente y vice,PRINCIPIO Y VALORES,"PRINCIPIO Y VALORES - LISTA 1A TIERRA,TECHO  Y TRABAJO - GUILLERMO MORENO",1043
San juan,Presidente y vice,PRINCIPIO Y VALORES,PRINCIPIO Y VALORES - LISTA 2B TRANSFORMAR - ELIODORO MARTINEZ,2
San juan,Presidente y vice,PRINCIPIO Y VALORES,PRINCIPIO Y VALORES - LISTA 3 C TRES BANDERAS - JORGE OLIVER,1
San juan,Presidente y vice,PRINCIPIO Y VALORES,PRINCIPIO Y VALORES - LISTA 4D GENTE DE TRABAJO - CAROLINA BARTOLINI,1
San juan,Presidente y vice,PRINCIPIO Y VALORES,PRINCIPIO Y VALORES - LISTA 5E LABORALISTA,1
San juan,Presidente y vice,VOTOS NULOS,VOTOS NULOS,5223
San juan,Presidente y vice,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
San juan,Presidente y vice,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
San juan,Presidente y vice,VOTOS BLANCO,VOTOS EN BLANCO,17063
San juan,Presidente y vice,VOTOS TOTALES,VOTOS TOTALES,437067
