cultivo_nombre,anio,campania,provincia_nombre,provincia_id,departamento_nombre,departamento_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha
avena,1923,1923/1924,Buenos Aires,06,Adolfo Alsina,06007,8000,6700,6700,1000
avena,1923,1923/1924,Buenos Aires,06,Adolfo Gonzales Chaves,06014,84000,78000,124800,1600
avena,1923,1923/1924,Buenos Aires,06,Alberti,06021,4700,4200,4494,1070
avena,1923,1923/1924,Buenos Aires,06,Ayacucho,06042,1780,1553,1508,971
avena,1923,1923/1924,Buenos Aires,06,Azul,06049,10000,8500,11390,1340
avena,1923,1923/1924,Buenos Aires,06,Bahía Blanca,06056,8000,6350,7620,1200
avena,1923,1923/1924,Buenos Aires,06,Balcarce,06063,4400,3800,5130,1350
avena,1923,1923/1924,Buenos Aires,06,Baradero,06070,750,450,355,790
avena,1923,1923/1924,Buenos Aires,06,Bartolome Mitre,06077,2000,1400,1120,800
avena,1923,1923/1924,Buenos Aires,06,Benito Juárez,06084,25500,20000,28600,1430
avena,1923,1923/1924,Buenos Aires,06,Bolívar,06105,17300,14980,21571,1440
avena,1923,1923/1924,Buenos Aires,06,Bragado,06112,6000,4800,4920,1025
avena,1923,1923/1924,Buenos Aires,06,Campana,06126,400,170,146,860
avena,1923,1923/1924,Buenos Aires,06,Carlos Casares,06147,4700,4000,4480,1120
avena,1923,1923/1924,Buenos Aires,06,Carlos Tejedor,06154,7000,6000,7320,1220
avena,1923,1923/1924,Buenos Aires,06,Carmen de Areco,06161,400,180,126,700
avena,1923,1923/1924,Buenos Aires,06,Castelli,06168,1080,780,780,1000
avena,1923,1923/1924,Buenos Aires,06,Colón,06175,500,150,105,700
avena,1923,1923/1924,Buenos Aires,06,Coronel Dorrego,06189,89500,76000,109212,1437
avena,1923,1923/1924,Buenos Aires,06,Coronel Pringles,06196,46000,41500,58307,1405
avena,1923,1923/1924,Buenos Aires,06,Coronel Suárez,06203,13000,10650,12780,1200
avena,1923,1923/1924,Buenos Aires,06,Chacabuco,06210,3000,2400,2184,910
avena,1923,1923/1924,Buenos Aires,06,Chascomús,06218,1320,1000,1000,1000
avena,1923,1923/1924,Buenos Aires,06,Chivilcoy,06224,5000,4000,4320,1080
avena,1923,1923/1924,Buenos Aires,06,Exaltación de la Cruz,06266,1000,900,666,740
avena,1923,1923/1924,Buenos Aires,06,General Alvarado,06280,3400,2860,4433,1550
avena,1923,1923/1924,Buenos Aires,06,General Alvear,06287,2000,1800,1620,900
avena,1923,1923/1924,Buenos Aires,06,General Arenales,06294,3000,1630,1450,890
avena,1923,1923/1924,Buenos Aires,06,General Belgrano,06301,1000,850,680,800
avena,1923,1923/1924,Buenos Aires,06,General Juan Madariaga,06315,800,,,
avena,1923,1923/1924,Buenos Aires,06,General La Madrid,06322,6400,6000,5520,920
avena,1923,1923/1924,Buenos Aires,06,General Paz,06343,860,850,790,930
avena,1923,1923/1924,Buenos Aires,06,General Pinto,06351,7000,6000,7440,1240
avena,1923,1923/1924,Buenos Aires,06,General Pueyrredón,06357,2300,1500,1650,1100
avena,1923,1923/1924,Buenos Aires,06,General Viamonte,06385,7000,6000,7200,1200
avena,1923,1923/1924,Buenos Aires,06,General Villegas,06392,10000,8000,7200,900
avena,1923,1923/1924,Buenos Aires,06,Guaminí,06399,12000,9800,11858,1210
avena,1923,1923/1924,Buenos Aires,06,Junín,06413,6000,4800,4944,1030
avena,1923,1923/1924,Buenos Aires,06,Laprida,06448,5000,4200,4620,1100
avena,1923,1923/1924,Buenos Aires,06,Las Flores,06455,1500,1000,1250,1250
avena,1923,1923/1924,Buenos Aires,06,Leandro N. Alem,06462,1400,900,855,950
avena,1923,1923/1924,Buenos Aires,06,Lincoln,06469,13200,12800,14848,1160
avena,1923,1923/1924,Buenos Aires,06,Lobería,06476,12750,9500,14250,1500
avena,1923,1923/1924,Buenos Aires,06,Lobos,06483,2000,1600,1568,980
avena,1923,1923/1924,Buenos Aires,06,Luján,06497,2500,1600,1440,900
avena,1923,1923/1924,Buenos Aires,06,Magdalena,06505,1700,1300,1235,950
avena,1923,1923/1924,Buenos Aires,06,Maipú,06511,2300,1000,1000,1000
avena,1923,1923/1924,Buenos Aires,06,Mar Chiquita,06518,1550,,,
avena,1923,1923/1924,Buenos Aires,06,Mercedes,06532,1000,800,560,700
avena,1923,1923/1924,Buenos Aires,06,Monte,06547,1200,800,888,1110
avena,1923,1923/1924,Buenos Aires,06,Navarro,06574,1000,670,670,1000
avena,1923,1923/1924,Buenos Aires,06,Necochea,06581,83600,66000,105006,1591
avena,1923,1923/1924,Buenos Aires,06,9 de Julio,06588,12000,9500,10830,1140
avena,1923,1923/1924,Buenos Aires,06,Olavarría,06595,20500,18500,24050,1340
avena,1923,1923/1924,Buenos Aires,06,Patagones,06602,2000,1000,930,930
avena,1923,1923/1924,Buenos Aires,06,Pehuajó,06609,16300,15130,19669,1300
avena,1923,1923/1924,Buenos Aires,06,Pellegrini,06616,10000,8200,8364,1020
avena,1923,1923/1924,Buenos Aires,06,Pergamino,06623,1500,800,744,930
avena,1923,1923/1924,Buenos Aires,06,Pilar,06638,700,500,475,950
avena,1923,1923/1924,Buenos Aires,06,Puán,06651,14000,12150,12089,995
avena,1923,1923/1924,Buenos Aires,06,Ramallo,06665,500,370,292,790
avena,1923,1923/1924,Buenos Aires,06,Rauch,06672,3800,2900,2900,1000
avena,1923,1923/1924,Buenos Aires,06,Rivadavia,06679,11000,10450,13062,1250
avena,1923,1923/1924,Buenos Aires,06,Rojas,06686,800,450,432,960
avena,1923,1923/1924,Buenos Aires,06,Roque Pérez,06693,1800,1600,1680,1050
avena,1923,1923/1924,Buenos Aires,06,Saavedra,06700,9000,7400,9153,1237
