cultivo_nombre,anio,campania,provincia_nombre,provincia_id,departamento_nombre,departamento_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha
girasol,1969,1969/70,Buenos Aires,06,Adolfo Alsina,06007,10000,10000,9000,900
girasol,1969,1969/70,Buenos Aires,06,Adolfo Gonzales Chaves,06014,1500,1350,1147,850
girasol,1969,1969/70,Buenos Aires,06,Alberti,06021,14000,14000,12600,900
girasol,1969,1969/70,Buenos Aires,06,Ayacucho,06042,14000,13300,8645,650
girasol,1969,1969/70,Buenos Aires,06,Azul,06049,11000,9900,7425,750
girasol,1969,1969/70,Buenos Aires,06,Balcarce,06063,3000,3000,2700,900
girasol,1969,1969/70,Buenos Aires,06,Baradero,06070,5500,5300,4900,925
girasol,1969,1969/70,Buenos Aires,06,Arrecifes,06077,2400,2250,2500,1111
girasol,1969,1969/70,Buenos Aires,06,Benito Juárez,06084,1500,1350,1215,900
girasol,1969,1969/70,Buenos Aires,06,Bolívar,06105,34000,34000,34000,1000
girasol,1969,1969/70,Buenos Aires,06,Bragado,06112,30000,30000,27000,900
girasol,1969,1969/70,Buenos Aires,06,Brandsen,06119,500,470,376,800
girasol,1969,1969/70,Buenos Aires,06,Campana,06126,700,700,560,800
girasol,1969,1969/70,Buenos Aires,06,Cañuelas,06134,1500,1450,1232,850
girasol,1969,1969/70,Buenos Aires,06,Capitán Sarmiento,06140,1500,1450,1600,1103
girasol,1969,1969/70,Buenos Aires,06,Carlos Casares,06147,33000,33000,33000,1000
girasol,1969,1969/70,Buenos Aires,06,Carlos Tejedor,06154,20000,10000,7300,730
girasol,1969,1969/70,Buenos Aires,06,Carmen de Areco,06161,2500,2400,2900,1208
girasol,1969,1969/70,Buenos Aires,06,Castelli,06168,3500,3500,2500,714
girasol,1969,1969/70,Buenos Aires,06,Colón,06175,2500,2500,2250,900
girasol,1969,1969/70,Buenos Aires,06,Coronel Dorrego,06189,1000,880,704,800
girasol,1969,1969/70,Buenos Aires,06,Coronel Pringles,06196,3000,2700,2278,844
girasol,1969,1969/70,Buenos Aires,06,Coronel Suárez,06203,27000,27000,32400,1200
girasol,1969,1969/70,Buenos Aires,06,Chacabuco,06210,13000,13000,12350,950
girasol,1969,1969/70,Buenos Aires,06,Chascomús,06218,3500,3500,2800,800
girasol,1969,1969/70,Buenos Aires,06,Chivilcoy,06224,19000,19000,15200,800
