distrito,cargo,agrupacion_politica,lista,votos
Catamarca,Diputado nacional,MOVIMIENTO LIBRES DEL SUR,A-AZUL Y ROJO,1151
Catamarca,Diputado nacional,MOVIMIENTO IZQ. JUVENTUD Y DIGNIDAD,A-DIGNIDAD,228
Catamarca,Diputado nacional,FRENTE PATRIOTA FEDERAL,A-PRIMERO LA PATRIA,461
Catamarca,Diputado nacional,JUNTOS POR EL CAMBIO,A -EL CAMBIO DE NUESTRAS VIDAS | H,20165
Catamarca,Diputado nacional,JUNTOS POR EL CAMBIO,B-LA FUERZA DEL CAMBIO | GANA CATAMARCA A,24714
Catamarca,Diputado nacional,HACEMOS POR NUESTRO PAIS,A-HACEMOS | NVO ESPACIO DE OPINION,2215
Catamarca,Diputado nacional,UNION POR LA PATRIA,A-CELESTE Y BLANCA,95255
Catamarca,Diputado nacional,LA LIBERTAD AVANZA,A-LIB POR SIEMPRE | UNION EN DESA Y LIBERTAD,30388
Catamarca,Diputado nacional,FTE DE IZQ. Y DE TRABAJADORES-UNIDAD,B-UNIDAD DE LUCHADORES Y LA IZQ. | 1A,1607
Catamarca,Diputado nacional,AUTENTICOS LIBERALES CATAMARCA,A-LIBERTARIOS,9
Catamarca,Diputado nacional,AUTENTICOS LIBERALES CATAMARCA,B-LIBERTAD CATAMARCA,6
Catamarca,Diputado nacional,VOTOS NULOS,VOTOS NULOS,1337
Catamarca,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Catamarca,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Catamarca,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,69039
Catamarca,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,246575
Cordoba,Diputado nacional,VOTOS NULOS,VOTOS NULOS,24716
Cordoba,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Cordoba,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Cordoba,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,82007
Cordoba,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,2093538
Corrientes,Diputado nacional,VOTOS NULOS,VOTOS NULOS,6544
Corrientes,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Corrientes,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Corrientes,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,59591
Corrientes,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,643090
Chaco,Diputado nacional,PARTIDO MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,5600
Chaco,Diputado nacional,PARTIDO DEL OBRERO,LISTA 1A - UNIDAD DE LUCHADORES Y LA IZQUIERDA,3878
Chaco,Diputado nacional,PARTIDO DEMÃCRATA,LISTA A - ENCUENTRO LIBERTARIO POR EL CHACO,2818
Chaco,Diputado nacional,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A,1113
Chaco,Diputado nacional,FRENTE INTEGRADOR,LISTA N°1 INTEGRACIÓN,4074
Chaco,Diputado nacional,UNIÃN POR LA PATRIA,LISTA E - LA MARÍA EVA,9234
Chaco,Diputado nacional,UNIÃN POR LA PATRIA,LISTA J - 17 DE OCTUBRE,210481
Chaco,Diputado nacional,JUNTOS POR EL CAMBIO,LISTA A - CHACO CAMBIA,164795
Chaco,Diputado nacional,LA LIBERTAD AVANZA,LISTA A,165448
Chaco,Diputado nacional,VOTOS NULOS,VOTOS NULOS,4946
Chaco,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Chaco,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Chaco,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,72428
Chaco,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,644815
Chubut,Diputado nacional,VOTOS NULOS,VOTOS NULOS,8068
Chubut,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Chubut,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Chubut,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,47986
Chubut,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,330612
Entre rios,Diputado nacional,MOVIMIENTO AL SOCIALISMO,A IZQUIERDA ANTICAPITALISTA,1846
Entre rios,Diputado nacional,JUNTOS POR ENTRE RIOS,AHORA ENTRE RIOS,215268
Entre rios,Diputado nacional,MAS PARA ENTRE RIOS,2A  MAS PARA ENTRE RIOS,237071
Entre rios,Diputado nacional,NUEVA IZQUIERDA,1A UNIDAD DE LUCHADORES Y LA IZQUIERDA,4036
Entre rios,Diputado nacional,VOTOS NULOS,VOTOS NULOS,9172
Entre rios,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Entre rios,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Entre rios,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,268919
Entre rios,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,864630
Formosa,Diputado nacional,MOVIMIENTO LIBRES DEL SUR,A - AZUL Y ROJO,1825
Formosa,Diputado nacional,LA NUEVA INDEPENDENCIA,A - MILITANTES AMIGOS,1926
Formosa,Diputado nacional,UNION POR LA PATRIA,"A - LISTA 2 CELESTE, BLANCA Y AZUL",144948
Formosa,Diputado nacional,JUNTOS POR EL CAMBIO,A - #PODES CONFIAR ESTAMOS CON VOS,24705
Formosa,Diputado nacional,JUNTOS POR EL CAMBIO,B - LA FUERZA DEL CAMBIO,43128
Formosa,Diputado nacional,LA LIBERTAD AVANZA,A - LA LIBERTAD AVANZA,75553
Formosa,Diputado nacional,VOTOS NULOS,VOTOS NULOS,2098
Formosa,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Formosa,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Formosa,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,32397
Formosa,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,326580
Jujuy,Diputado nacional,PARTIDO RENOVADOR FEDERAL,1A-LIBERTAD JUJUY,141173
Jujuy,Diputado nacional,MILES-MOV. INTEGRACIÃN LATINOAMERICANA DE EXPRESIÃN SOCIAL,JUJUY TIENE FUTURO CON PRINCIPIOS  Y VALORES,3318
Jujuy,Diputado nacional,UNION POR LA PATRIA,A-CELESTE Y BLANCA,23020
Jujuy,Diputado nacional,UNION POR LA PATRIA,B-UNIDAD RENOVADORA,37980
Jujuy,Diputado nacional,UNION POR LA PATRIA,C-UNION POR JUJUY,34204
Jujuy,Diputado nacional,CAMBIA JUJUY,A-SIGAMOS CAMBIANDO JUJUY,74977
Jujuy,Diputado nacional,CAMBIA JUJUY,B-LA FUERZA DEL CAMBIO,20752
Jujuy,Diputado nacional,CAMBIA JUJUY,C-UNIR AL CAMBIO,2193
Jujuy,Diputado nacional,HACEMOS POR NUESTRO PAIS,HACEMOS POR JUJUY,5596
Jujuy,Diputado nacional,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD ,A-UNIR Y FORTALECER LA IZQUIERDA,31958
Jujuy,Diputado nacional,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD ,B-UNIDAD DE LUCHADORES Y LA IZQUIERDA,7799
Jujuy,Diputado nacional,VOTOS NULOS,VOTOS NULOS,5313
Jujuy,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Jujuy,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Jujuy,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,54200
Jujuy,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,442483
La pampa,Diputado nacional,VOTOS NULOS,VOTOS NULOS,2384
La pampa,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
La pampa,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
La pampa,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,83544
La pampa,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,208377
La_rioja,Diputado nacional,VOTOS NULOS,VOTOS NULOS,1959
La_rioja,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
La_rioja,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
La_rioja,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,23138
La_rioja,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,207388
Mendoza,Diputado nacional,MOVIMIENTO AL SOCIALISMO,MOVIMIENTO AL SOCIALISMO-LISTA - A - IZQUIERDA ANTICAPITALISTA,4120
Mendoza,Diputado nacional,MOVIMIENTO LIBRES DEL SUR,MOVIMIENTO LIBRES DEL SUR LISTA -A- AZUL Y ROJO,16562
