distrito,cargo,agrupacion_politica,lista,votos
Formosa,Diputado nacional,MOVIMIENTO LIBRES DEL SUR,A - AZUL Y ROJO,1825
Formosa,Diputado nacional,LA NUEVA INDEPENDENCIA,A - MILITANTES AMIGOS,1926
Formosa,Diputado nacional,UNION POR LA PATRIA,"A - LISTA 2 CELESTE, BLANCA Y AZUL",144948
Formosa,Diputado nacional,JUNTOS POR EL CAMBIO,A - #PODES CONFIAR ESTAMOS CON VOS,24705
Formosa,Diputado nacional,JUNTOS POR EL CAMBIO,B - LA FUERZA DEL CAMBIO,43128
Formosa,Diputado nacional,LA LIBERTAD AVANZA,A - LA LIBERTAD AVANZA,75553
Formosa,Diputado nacional,VOTOS NULOS,VOTOS NULOS,2098
Formosa,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Formosa,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Formosa,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,32397
Formosa,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,326580
