distrito,cargo,agrupacion_politica,lista,votos
Entre rios,Parlamentario mercosur dn,MOVIMIENTO AL SOCIALISMO,A IZQUIERDA ANTICAPITALISTA,1838
Entre rios,Parlamentario mercosur dn,MOVIMIENTO LIBRES DEL SUR,A AZUL Y ROJO,1483
Entre rios,Parlamentario mercosur dn,MOVIMIENTO DE ACCION VECINAL,A COMPROMISO VECINAL,1271
Entre rios,Parlamentario mercosur dn,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,A DIGNIDAD,924
Entre rios,Parlamentario mercosur dn,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,B CONFEDERAL,1336
Entre rios,Parlamentario mercosur dn,POLÃTICA OBRERA,A UNIDAD OBRERA,1538
Entre rios,Parlamentario mercosur dn,PROYECTO JOVEN,A COALICION PAZ DEMOCRACIA SOBERANIA,50
Entre rios,Parlamentario mercosur dn,PROYECTO JOVEN,C TODEX,11
Entre rios,Parlamentario mercosur dn,PROYECTO JOVEN,D NUEVA DEMOCRACIA,6
Entre rios,Parlamentario mercosur dn,FRENTE PATRIOTA FEDERAL,A PRIMERO LA PATRIA,1619
Entre rios,Parlamentario mercosur dn,FRENTE LIBER.AR,A DEMOS,147
Entre rios,Parlamentario mercosur dn,FRENTE LIBER.AR,C ANTICORRUPCION,48
Entre rios,Parlamentario mercosur dn,JUNTOS POR EL CAMBIO,A EL CAMBIO DE NUESTRAS VIDAS,88996
Entre rios,Parlamentario mercosur dn,JUNTOS POR EL CAMBIO,B LA FUERZA DEL CAMBIO,164360
Entre rios,Parlamentario mercosur dn,HACEMOS POR NUESTRO PAIS,A HACEMOS,8073
Entre rios,Parlamentario mercosur dn,UNION POR LA PATRIA,A CELESTE Y BLANCA,236281
Entre rios,Parlamentario mercosur dn,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,A UNIR Y FORTALECER LA IZQUIERDA,4947
Entre rios,Parlamentario mercosur dn,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,B UNIDAD DE LUCHADORES Y DE LA IZQUIERDA,4354
Entre rios,Parlamentario mercosur dn,PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",4167
Entre rios,Parlamentario mercosur dn,PRINCIPIOS Y VALORES,2B TRANSFORMAR,36
Entre rios,Parlamentario mercosur dn,VOTOS NULOS,VOTOS NULOS,9702
Entre rios,Parlamentario mercosur dn,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Entre rios,Parlamentario mercosur dn,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Entre rios,Parlamentario mercosur dn,VOTOS BLANCO,VOTOS EN BLANCO,194135
Entre rios,Parlamentario mercosur dn,VOTOS TOTALES,VOTOS TOTALES,864677
