distrito,cargo,agrupacion_politica,lista,votos
Mendoza,Parlamentario mercosur dr,MOVIMIENTO AL SOCIALISMO,MOVIMIENTO AL SOCIALISMO-LISTA - A - IZQUIERDA ANTICAPITALISTA,4128
Mendoza,Parlamentario mercosur dr,MOVIMIENTO LIBRES DEL SUR,MOVIMIENTO LIBRES DEL SUR LISTA -A- AZUL Y ROJO,16483
Mendoza,Parlamentario mercosur dr,CAMBIA MENDOZA,CAMBIA MENDOZA LISTA-A-MENDOZA HACE,293988
Mendoza,Parlamentario mercosur dr,COMPROMISO FEDERAL,COMPROMISO FEDERAL LISTA-A-HACEMOS UNIDOS POR MENDOZA,12874
Mendoza,Parlamentario mercosur dr,UNION POR LA PATRIA,UNION POR LA PATRIA LISTA-A-CELESTE Y BLANCA,179575
Mendoza,Parlamentario mercosur dr,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA LISTA-A-LA LIBERTAD MENDOZA,467577
Mendoza,Parlamentario mercosur dr,FRENTE DE IZQUIERDA Y TRABAJADORES-UNIDAD,FRENTE DE IZQUIERDA Y TRABAJADORES-UNIDAD LISTA-A-UNIR Y FORTALECER LA IZQUIERDA,25599
Mendoza,Parlamentario mercosur dr,FRENTE DE IZQUIERDA Y TRABAJADORES-UNIDAD,FRENTE DE IZQUIERDA Y TRABAJADORES-UNIDAD LISTA-B-UNIDAD DE LUCHADORES Y LA IZQU,7150
Mendoza,Parlamentario mercosur dr,VOTOS NULOS,VOTOS NULOS,18054
Mendoza,Parlamentario mercosur dr,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Mendoza,Parlamentario mercosur dr,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Mendoza,Parlamentario mercosur dr,VOTOS BLANCO,VOTOS EN BLANCO,60215
Mendoza,Parlamentario mercosur dr,VOTOS TOTALES,VOTOS TOTALES,1085643
