distrito,cargo,agrupacion_politica,lista,votos
Rio negro,Presidente vicepresidente,MOVIMIENTO AL SOCIALISMO - MAS,MOVIMIENTO AL SOCIALISMO - MAS - A - IZQUIERDA ANTICAPITALISTA,3095
Rio negro,Presidente vicepresidente,UNION DEL CENTRO DEMOCRATICO,UNION DEL CENTRO DEMOCRATICO - A - APERTURA LIBERAL ARGENTINA,14
Rio negro,Presidente vicepresidente,PARTIDO MOVIMIENTO LIBRES DEL SUR,PARTIDO MOVIMIENTO LIBRES DEL SUR - A - AZUL Y ROJO,5034
Rio negro,Presidente vicepresidente,MOVIMIENTO DE ACCION VECINAL,MOVIMIENTO DE ACCION VECINAL - A - COMPROMISO VECINAL,1788
Rio negro,Presidente vicepresidente,MOVIIENTO IZQUIERDA JUVENTUD DIGNIDAD,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD - A - DIGNIDAD,174
Rio negro,Presidente vicepresidente,MOVIIENTO IZQUIERDA JUVENTUD DIGNIDAD,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD - B - CONFEDERAL,996
Rio negro,Presidente vicepresidente,POLITICA OBRERA,POLITICA OBRERA - A - UNIDAD OBRERA,2426
Rio negro,Presidente vicepresidente,PARTIDO PROYECTO JOVEN,PARTIDO PROYECTO JOVEN - A - COALICION PAZ DEMOCRACIA SOBERANIA,45
Rio negro,Presidente vicepresidente,PARTIDO PROYECTO JOVEN,PARTIDO PROYECTO JOVEN - B - PATRIA UNIDA,264
Rio negro,Presidente vicepresidente,PARTIDO PROYECTO JOVEN,PARTIDO PROYECTO JOVEN - C - TODEX,9
Rio negro,Presidente vicepresidente,FRENTE PATRIOTA FEDERAL,FRENTE PATRIOTA FEDERAL - A - PRIMERO LA PATRIA,19
Rio negro,Presidente vicepresidente,FRENTE LIBER.AR,FRENTE LIBER.AR - A - DEMOS,19
Rio negro,Presidente vicepresidente,FRENTE LIBER.AR,FRENTE LIBER.AR - B - RECONQUISCA,15
Rio negro,Presidente vicepresidente,FRENTE LIBER.AR,FRENTE LIBER.AR - C - ANTICORRUPCION,8
Rio negro,Presidente vicepresidente,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO - A Y C - EL CAMBIO DE NUESTRAS VIDAS,31962
Rio negro,Presidente vicepresidente,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO - B - LA FUERZA DEL CAMBIO,53553
Rio negro,Presidente vicepresidente,HACEMOS POR NUESTRO PAIS,HACEMOS POR NUESTRO PAIS - A - HACEMOS,8386
Rio negro,Presidente vicepresidente,UNION POR LA PATRIA,UNION POR LA PATRIA - A - CELESTE Y BLANCA,73054
Rio negro,Presidente vicepresidente,UNION POR LA PATRIA,UNION POR LA PATRIA - B - JUSTA Y SOBERANA,34588
Rio negro,Presidente vicepresidente,LA LIBERTAD AVANZA - PARTIDO FE ,"LA LIBERTAD AVANZA - PARTIDO FE - A ""LIBERTAD POR SIEMPRE"" -  A ""CON FE""",151823
Rio negro,Presidente vicepresidente,FRENTE DE IZQUIERDA Y TRABAJADORES - UNIDAD,FRENTE DE IZQUIERDA Y TRABAJADORES - UNIDAD - A - UNIR Y FORTALECER LA IZQUIERDA,9633
Rio negro,Presidente vicepresidente,FRENTE DE IZQUIERDA Y TRABAJADORES - UNIDAD,FRENTE DE IZQUIERDA Y TRABAJADORES - UNIDAD - B - UNIDAD DE LUCHADORES Y LA IZQUIERDA,3838
Rio negro,Presidente vicepresidente,PRINCIPIOS Y VALORES,PRINCIPIOS Y VALORES - 1A - TIERRA TECHO Y TRABAJO,3442
Rio negro,Presidente vicepresidente,PRINCIPIOS Y VALORES,PRINCIPIOS Y VALORES - 2B - TRANSFORMAR,0
Rio negro,Presidente vicepresidente,PRINCIPIOS Y VALORES,PRINCIPIOS Y VALORES - 3C - TRES BANDERAS,14
Rio negro,Presidente vicepresidente,PRINCIPIOS Y VALORES,PRINCIPIOS Y VALORES -  4D - GENTE DE TRABAJO,7
Rio negro,Presidente vicepresidente,PRINCIPIOS Y VALORES,PRINCIPIOS Y VALORES - 5E - LABORISTA,7
Rio negro,Presidente vicepresidente,VOTOS NULOS,VOTOS NULOS,10345
Rio negro,Presidente vicepresidente,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Rio negro,Presidente vicepresidente,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Rio negro,Presidente vicepresidente,VOTOS BLANCO,VOTOS EN BLANCO,24351
Rio negro,Presidente vicepresidente,VOTOS TOTALES,VOTOS TOTALES,418909
