distrito,cargo,agrupacion_politica,lista,votos
Santa fe,Presidente y vice,MOVIMIENTO AL SOCIALISMO,A - IZQUIERDA ANTICAPITALISTA,5539
Santa fe,Presidente y vice,UNION DEL CENTRO DEMOCRATICO,A - APERTURA LIBERAL ARGENTINA,1127
Santa fe,Presidente y vice,MOVIMIENTO LIBRES DEL SUR,A - AZUL Y ROJO,5730
Santa fe,Presidente y vice,MOVIMIENTO DE ACCION VECINAL,A - COMPROMISO VECINAL,2340
Santa fe,Presidente y vice,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,A - DIGNIDAD,2287
Santa fe,Presidente y vice,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,B - CONFEDERAL,4541
Santa fe,Presidente y vice,POLITICA OBRERA,A - UNIDAD OBRERA,3523
Santa fe,Presidente y vice,PROYECTO JOVEN,A - COALICION PAZ DEMOCRACIA SOBERANIA,1220
Santa fe,Presidente y vice,PROYECTO JOVEN,B - PATRIA UNIDA,252
Santa fe,Presidente y vice,PROYECTO JOVEN,C - TODEX,453
Santa fe,Presidente y vice,FRENTE PATRIOTA FEDERAL,A - PRIMERO LA PATRIA,2456
Santa fe,Presidente y vice,FRENTE LIBER.AR,A - DEMOS,778
Santa fe,Presidente y vice,FRENTE LIBER.AR,B - RECONQUISTA,2425
Santa fe,Presidente y vice,FRENTE LIBER.AR,C - ANTICORRUPCION,519
Santa fe,Presidente y vice,JUNTOS POR EL CAMBIO,A - EL CAMBIO DE NUESTRAS VIDAS,213760
Santa fe,Presidente y vice,JUNTOS POR EL CAMBIO,B - LA FUERZA DEL CAMBIO,377473
Santa fe,Presidente y vice,HACEMOS POR NUESTRO PAIS LA FUERZA DE SANTA FE,A - HACEMOS,69149
Santa fe,Presidente y vice,UNION POR LA PATRIA,A - CELESTE Y BLANCA,308465
Santa fe,Presidente y vice,UNION POR LA PATRIA,B - JUSTO Y SOBERANO,86443
Santa fe,Presidente y vice,LA LIBERTAD AVANZA,A-LIBERTAD POR SIEMPRE,661659
Santa fe,Presidente y vice,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A-UNIR Y FORTALECER LA IZQUIERDA,21723
Santa fe,Presidente y vice,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B-UNIDAD DE LUCHADORES Y LA IZQUIERDA,9412
Santa fe,Presidente y vice,PRINCIPIOS Y VALORES LEALTAD Y DIGNIDAD,"1A - TIERRA, TECHO Y TRABAJO",26292
Santa fe,Presidente y vice,PRINCIPIOS Y VALORES LEALTAD Y DIGNIDAD,2B - TRANSFORMAR,225
Santa fe,Presidente y vice,PRINCIPIOS Y VALORES LEALTAD Y DIGNIDAD,3C - TRES BANDERAS,42
Santa fe,Presidente y vice,PRINCIPIOS Y VALORES LEALTAD Y DIGNIDAD,4D - GENTE DE TRABAJO,26
Santa fe,Presidente y vice,PRINCIPIOS Y VALORES LEALTAD Y DIGNIDAD,5E - LABORISTA,37
Santa fe,Presidente y vice,VOTOS NULOS,VOTOS NULOS,48570
Santa fe,Presidente y vice,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Santa fe,Presidente y vice,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Santa fe,Presidente y vice,VOTOS BLANCO,VOTOS EN BLANCO,71806
Santa fe,Presidente y vice,VOTOS TOTALES,VOTOS TOTALES,1928272
